fd(A, B)
acd bc
acd bcd
acd bcde
acd bce
acd bd
acd bde
acd be
acd c
acd cd
acd cde
acd ce
acd d
acd de
acd e
acde a
acde ab
acde abc
acde abcd
acde abcde
acde abce
acde abd
acde abde
acde abe
acde ac
acde acd
acde acde
acde ace
acde ad
acde ade
acde ae
acde b
acde bc
acde bcd
acde bcde
acde bce
acde bd
acde bde
acde be
acde c
acde cd
acde cde
acde ce
acde d
acde de
acde e
ace a
ace ab
ace abc
ace abcd
ace abcde
ace abce
ace abd
ace abde
ace abe
ace ac
ace acd
ace acde
ace ace
ace ad
ace ade
ace ae
ace b
ace bc
ace bcd
ace bcde
ace bce
ace bd
ace bde
ace be
ace c
ace cd
ace cde
ace ce
ace d
ace de
ace e
ad a
ad ab
ad abc
ad abcd
ad abcde
ad abce
ad abd
ad abde
ad abe
ad ac
ad acd
ad acde
ad ace
ad ad
ad ade
ad ae
ad b
ad bc
ad bcd
ad bcde
ad bce
ad bd
ad bde
ad be
ad c
ad cd
ad cde
ad ce
ad d
ad de
ad e
ade a
ade ab
ade abc
ade abcd
ade abcde
ade abce
ade abd
ade abde
ade abe
ade ac
ade acd
ade acde
ade ace
ade ad
ade ade
ade ae
ade b
ade bc
ade bcd
ade bcde
ade bce
ade bd
ade bde
ade be
ade c
ade cd
ade cde
ade ce
ade d
ade de
ade e
ae a
ae ab
ae abc
ae abcd
ae abcde
ae abce
ae abd
ae abde
ae abe
ae ac
ae acd
ae acde
ae ace
ae ad
ae ade
ae ae
ae b
ae bc
ae bcd
ae bcde
ae bce
ae bd
ae bde
ae be
ae c
ae cd
ae cde
ae ce
ae d
ae de
ae e
b b
b bd
b d
bc a
bc ab
bc abc
bc abcd
bc abcde
bc abce
bc abd
bc abde
bc abe
bc ac
bc acd
bc acde
bc ace
bc ad
bc ade
bc ae
bc b
bc bc
bc bcd
bc bcde
bc bce
bc bd
bc bde
bc be
bc c
bc cd
bc cde
bc ce
bc d
bc de
bc e
bcd a
bcd ab
bcd abc
bcd abcd
bcd abcde
bcd abce
bcd abd
bcd abde
bcd abe
bcd ac
bcd acd
bcd acde
bcd ace
bcd ad
bcd ade
bcd ae
bcd b
bcd bc
bcd bcd
bcd bcde
bcd bce
bcd bd
bcd bde
bcd be
bcd c
bcd cd
bcd cde
bcd ce
bcd d
bcd de
bcd e
bcde a
bcde ab
bcde abc
bcde abcd
bcde abcde
bcde abce
bcde abd
bcde abde
bcde abe
bcde ac
bcde acd
bcde acde
bcde ace
bcde ad
bcde ade
bcde ae
bcde b
bcde bc
bcde bcd
bcde bcde
bcde bce
bcde bd
bcde bde
bcde be
bcde c
bcde cd
bcde cde
bcde ce
bcde d
bcde de
bcde e
bce a
bce ab
bce abc
bce abcd
bce abcde
bce abce
bce abd
bce abde
bce abe
bce ac
bce acd
bce acde
bce ace
bce ad
bce ade
bce ae
bce b
bce bc
bce bcd
bce bcde
bce bce
bce bd
bce bde
bce be
bce c
bce cd
bce cde
bce ce
bce d
bce de
bce e
bd b
bd bd
bd d
bde a
bde ab
bde abc
bde abcd
bde abcde
bde abce
bde abd
bde abde
bde abe
bde ac
bde acd
bde acde
bde ace
bde ad
bde ade
bde ae
bde b
bde bc
bde bcd
bde bcde
bde bce
bde bd
bde bde
bde be
bde c
bde cd
bde cde
bde ce
bde d
bde de
bde e
be a
be ab
be abc
be abcd
be abcde
be abce
be abd
be abde
be abe
be ac
be acd
be acde
be ace
be ad
be ade
be ae
be b
be bc
be bcd
be bcde
be bce
be bd
be bde
be be
be c
be cd
be cde
be ce
be d
be de
be e
c c
cd a
cd ab
cd abc
cd abcd
cd abcde
cd abce
cd abd
cd abde
cd abe
cd ac
cd acd
cd acde
cd ace
cd ad
cd ade
cd ae
cd b
cd bc
cd bcd
cd bcde
cd bce
cd bd
cd bde
cd be
cd c
cd cd
cd cde
cd ce
cd d
cd de
cd e
cde a
cde ab
cde abc
cde abcd
cde abcde
cde abce
cde abd
cde abde
cde abe
cde ac
cde acd
cde acde
cde ace
cde ad
cde ade
cde ae
cde b
cde bc
cde bcd
cde bcde
cde bce
cde bd
cde bde
cde be
cde c
cde cd
cde cde
cde ce
cde d
cde de
cde e
ce a
ce ab
ce abc
ce abcd
ce abcde
ce abce
ce abd
ce abde
ce abe
ce ac
ce acd
ce acde
ce ace
ce ad
ce ade
ce ae
ce b
ce bc
ce bcd
ce bcde
ce bce
ce bd
ce bde
ce be
ce c
ce cd
ce cde
ce ce
ce d
ce de
ce e
d d
de a
de ab
de abc
de abcd
de abcde
de abce
de abd
de abde
de abe
de ac
de acd
de acde
de ace
de ad
de ade
de ae
de b
de bc
de bcd
de bcde
de bce
de bd
de bde
de be
de c
de cd
de cde
de ce
de d
de de
de e
e a
e ab
e abc
e abcd
e abcde
e abce
e abd
e abde
e abe
e ac
e acd
e acde
e ace
e ad
e ade
e ae
e b
e bc
e bcd
e bcde
e bce
e bd
e bde
e be
e c
e cd
e cde
e ce
e d
e de
e e
fd(A, abcde)
a
ab
abc
abcd
abcde
abce
abd
abde
abe
ac
acd
acde
ace
ad
ade
ae
bc
bcd
bcde
bce
bde
be
cd
cde
ce
de
e
